date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-22","19:57:08",1784768228,"NTP",21,176400373,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=144572;sd_ok=1;sd_free=3996727310;wifi=1;rssi=-62;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-304;bulk_size=30;bulk_duration_ms=3839;wifi_losses=2;ts_failures=10;log_buffer=0;log_dropped=0"
"2026-07-22","20:00:46",1784768446,"NTP",22,10982,"INFO","SYSTEM","TIME_SYNCED","","","OK","source=NTP"
"2026-07-22","20:00:46",1784768446,"NTP",22,11028,"INFO","WEB","LOG_PORTAL_STARTED","","","OK","port=8080"
"2026-07-22","20:00:46",1784768446,"NTP",22,11089,"INFO","SYSTEM","INITIAL_STATE","","ONLINE","OK","pending_sd=0;pending_ram=0"
"2026-07-22","20:01:09",1784768469,"NTP",23,16782,"INFO","SYSTEM","TIME_SYNCED","","","OK","source=NTP"
"2026-07-22","20:01:09",1784768469,"NTP",23,16828,"INFO","WEB","LOG_PORTAL_STARTED","","","OK","port=8080"
"2026-07-22","20:01:09",1784768469,"NTP",23,16889,"INFO","SYSTEM","INITIAL_STATE","","ONLINE","OK","pending_sd=0;pending_ram=0"
"2026-07-22","20:01:19",1784768479,"NTP",23,27057,"INFO","SENSOR_HEALTH","SENSOR_INIT_OK","","","OK","all_components_ready=1"
"2026-07-22","20:01:19",1784768479,"NTP",23,27106,"INFO","SYSTEM","BOOT_COMPLETE","","ONLINE","OK","firmware=12.3-SYNC-RC1;heap=146544"
"2026-07-22","21:00:52",1784772052,"NTP",23,3600234,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145824;sd_ok=1;sd_free=3996718875;wifi=1;rssi=-63;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=NONE;bulk_size=30;bulk_duration_ms=0;wifi_losses=0;ts_failures=0;log_buffer=0;log_dropped=0"
"2026-07-22","22:00:52",1784775652,"NTP",23,7200237,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145824;sd_ok=1;sd_free=3996713074;wifi=1;rssi=-57;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=NONE;bulk_size=30;bulk_duration_ms=0;wifi_losses=0;ts_failures=0;log_buffer=0;log_dropped=0"
"2026-07-22","23:00:52",1784779252,"NTP",23,10800238,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145824;sd_ok=1;sd_free=3996707277;wifi=1;rssi=-57;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=NONE;bulk_size=30;bulk_duration_ms=0;wifi_losses=0;ts_failures=0;log_buffer=0;log_dropped=0"
"2026-07-22","23:49:56",1784782196,"NTP",23,13743758,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-22","23:49:56",1784782196,"NTP",23,13743890,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-57;pending=1"
"2026-07-22","23:49:56",1784782196,"NTP",23,13743939,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
